Saint-Saulve: 3.5617249; 50.3725268!
Vierzon: 2.0691421; 47.2217489!
Joinville-le-Pont: 2.4668077; 48.8183717!
Fréjus: 6.7360182; 43.4330308!
Mayenne: -0.6179871; 48.3044218!
Noisy-le-Grand: 2.5519571; 48.8493972!
Châteaurenard: 4.85568; 43.8820448!
Bressuire: -0.4929017; 46.8425572!
Wasquehal: 3.1312447; 50.6691577!
Saint-Cyr-l'École: 2.0672138; 48.799708!
Audincourt: 6.8413684; 47.4819786!
Saint-Dizier: 4.9475536; 48.6375625!
Gravelines: 2.1455; 50.9955!
Roncq: 3.1209016; 50.7531232!
Oignies: 2.99387; 50.4643!
Aubergenville: 1.8554319; 48.9591392!
Bourg-la-Reine: 2.3160386; 48.7793096!
Wittenheim: 7.3373681; 47.8080799!
Cluses: 6.580419; 46.0603309!
Annemasse: 6.2341093; 46.1934005!
Langres: 5.3317847; 47.8634406!
La Celle-Saint-Cloud: 2.1441863; 48.8478012!
Marmande: 0.164274; 44.5007939!
Dole: 5.4925463; 47.0921047!
Malakoff: 2.2971588; 48.8174048!
Saint-Mandé: 2.4172278; 48.8419182!
Soyaux: 0.1929757; 45.6409006!
Le Bourget: 2.4282102; 48.936802!
Ploufragan: -2.794788; 48.4899704!
Vandœuvre-lès-Nancy: 6.1653957; 48.6574993!
Mantes-la-Ville: 1.7109449; 48.9748938!
Fougères: -1.2022211; 48.3536781!
Massy: 2.27367; 48.7278!
Gap: 6.0820018; 44.5611978!
Dieppe: 1.0791444; 49.9246182!
Montceau-les-Mines: 4.3542; 46.6762!
Mandelieu-la-Napoule: 6.9359135; 43.5439153!
Évreux: 1.1375865; 49.0183639!
Herblay: 2.1481799; 49.0045001!
Douchy-les-Mines: 3.39013; 50.2984!
Carcassonne: 2.3491069; 43.2130358!
Houilles: 2.18709; 48.926!
Le Plessis-Trévise: 2.5745692; 48.8071041!
Sète: 3.6941845; 43.4017377!
Mende: 3.4991057; 44.5180226!
Calais: 1.87468; 50.9488!
Saint-Laurent-du-Var: 7.1906969; 43.6690101!
Rezé: -1.5691209; 47.1905787!
Condé-sur-l'Escaut: 3.5899406; 50.451747!
Limay: 1.7368795; 48.9937522!
Woippy: 6.1522049; 49.151928!
Agde: 3.4718381; 43.3126647!
Quimperlé: -3.5516222; 47.8690062!
